mouseAngle,mouseTremors,mouseJitters,xVariance,yVariance,totalVariance,keyHoldDuration,keyHoldStd,clickIntervalAvg,scrollSpeedAvg,keyStrokeInterval,avgTimeSpentField,averageTimeInterval,backspaceCount,averageTimeSpent,label
2.055097625719250,4,0,0,0,0,109.75,68.70544010484180,0,0,13.9,18.673,0,2,25.12,0
0,0,0,0,0,0,63.4,26.51490147068250,0,0,44.5,1.736,0,0,3.841,0
2.486882951813710,3,0,0,0,0,174.25,100.20822072065700,0,0,47,13.875,0,0,21.167,0
1.8489124045119400,3,0,0,0,0,248.5,142.94841727000700,0,0,63.416666666666700,12.259,0,1,20.459,0
3.668430015260630,3,0,0,0,0,225.83333333333300,228.14134264140300,0,0,71.83333333333330,12.556,0,1,19.991,0
2.3037992597640400,3,0,0,0,0,166,171.59545448525100,0,0,63.666666666666700,12.877,0,1,20.163,0
2.868109712650110,5,0,0,0,0,246.6,203.1173060081290,0,0,67.1,13.666,0,0,20.583,0
2.054650538859120,7,0,0,0,0,35.333333333333300,37.841775856849,0,-0.05498790019914680,284.75,2.8645,0.001,2,50.877,0
1.6728270590588000,1,0,0,0,0,39.44444444444440,48.08120702661080,0,-0.10126582278481000,251.075,2.5180000000000000,0.001,1,16.099,0
2.4162908618873600,12,4.018630259831810,11342.25,14762.25,161.56887076414200,52.714285714285700,44.58928213856610,278,-0.05569831808160660,140.03125,2.114,0.097,3,48.522,0
2.3030655961923300,3,0,0,0,0,262.8333333333330,178.70591919563100,0,0,59.07142857142860,13.432,0,2,20.053,0
1.817468585762050,3,0,0,0,0,227.66666666666700,226.9299940999920,0,0,73.25,12.37,0,1,19.232,0
2.666539824325030,2,0,0,0,0,215.4,175.9870449777480,0,0,52.25,12.616,0,1,19.864,0
1.999292538988140,3,0,0,0,0,148,125.47190920680200,0,0,56.5,10.878,0,0,17.53,0
3.3068239256211000,6,0,0,0,0,388.7142857142860,296.6805469503780,0,0,56.333333333333300,12.89,0,4,20.109,0
1.89793393039928,2,0,0,0,0,252.83333333333300,251.6945348808530,0,0,77.75,14.483,0,1,21.722,0
2.755624803450320,4,0,0,0,0,228.4,187.14016137644,0,0,57.833333333333300,13.147,0,1,20.785,0
1.2860647420518500,1,0,0,0,0,164.66666666666700,129.51276213391300,0,0,63.666666666666700,12.848,0,1,19.205,0
1.9033090435566400,2,0,0,0,0,280.42857142857100,252.27188119332000,0,0,58.625,13.109,0,3,20.047,0
1.7957893058259500,4,0,0,0,0,152.66666666666700,152.07965748982400,0,0,65.6,13.303,0,0,20.04,0
3.240322321109080,3,0,0,0,0,174.71428571428600,166.4706874975840,0,0,53.57142857142860,12.339,0,2,18.134,0
2.4076292900117400,4,0,0,0,0,214.14285714285700,189.79344303850000,0,0,54.642857142857100,12.266,0,2,19.677,0
2.5264706512129500,6,0,0,0,0,271.7142857142860,251.00239855752900,0,0,63.285714285714300,13.125,0,2,20.881,0
1.8693791043624300,3,0,0,0,0,210.25,121.81825602100900,0,0,57.666666666666700,12.33,0,1,20.567,0
2.171175721518840,3,0,0,0,0,405.6666666666670,19.770910168449200,0,0,85.2,13.058,0,0,19.697,0
2.276963823404920,2,0,0,0,0,203.33333333333300,160.79559142657600,0,0,69.83333333333330,13.168,0,1,19.278,0
2.790339454551450,4,0,0,0,0,253.57142857142900,244.04323805591600,0,0,59.857142857142900,12.892,0,2,20.683,0
2.4305094502028100,2,0,0,0,0,347.4,282.83747983603600,0,0,80.58333333333330,13.22,0,1,19.983,0
3.2966108201459700,4,0,0,0,0,333,210.19911195499100,0,0,60.375,12.358,0,3,20.258,0
1.743868548518170,4,0,0,0,0,245,247.62538911293700,0,0,83.83333333333330,12.658,0,1,20.042,0
1.9529422935557400,3,0,0,0,0,201.71428571428600,193.0386447511140,0,0,62.214285714285700,12.909,0,2,20.329,0
1.851714504323990,4,0,0,0,0,167.16666666666700,171.52591317025200,0,0,71.7,12.657,0,0,19.14,0
2.0447177591473700,4,0,0,0,0,356.2,198.1023977643890,0,0,70.85714285714290,14.031,0,2,21.008,0
1.5200935625414100,3,0,0,0,0,258.25,153.65118775980900,0,0,75.9,13.275,0,0,19.714,0
2.0449331480322300,5,0,0,0,0,146.28571428571400,168.57276028529700,0,0,55.083333333333300,11.996,0,1,18.703,0
3.3536406046998800,4,0,0,0,0,325.4,172.56372735890900,0,0,57.785714285714300,12.514,0,2,19.838,0
2.4695535906228700,5,0,0,0,0,248.28571428571400,199.7339046157690,0,0,59.142857142857100,12.432,0,2,18.804,0
1.8873674153803400,4,0,0,0,0,431.6,219.78589581681500,0,0,60.4375,13.042,0,3,19.723,0
2.9847718317411000,6,0,0,0,0,292.42857142857100,229.11248462762800,0,0,60.07142857142860,13.511,0,2,20.573,0
2.0499451103117100,2,0,0,0,0,271.2,171.54054914217800,0,0,77.75,13.151,0,1,19.244,0
2.370666104476520,2,0,0,0,0,282.6,231.48097114017800,0,0,75.7,12.691,0,0,20.033,0
1.7379369810580100,2,0,0,0,0,250.25,149.25544378681800,0,0,69,12.85,0,0,19.791,0
3.427791656745140,4,0,0,0,0,233.16666666666700,192.97704238817900,0,0,75.41666666666670,14.021,0,1,20.708,0
1.8927205012448200,3,0.9600131949021600,0,0,0,203.85714285714300,237.80690160081500,0,0,60.083333333333300,12.375,0,1,20.117,0
2.68542646439746,3,0,0,0,0,233.2,189.86352993663600,0,0,77,14.679,0,0,22.115,0
2.677945044588990,1,2.23606797749979,0,0,0,221,127.28118478392600,0,0,59.1,12.52,0,0,19.678,0
