mouseSpeed,mouseAngle,mouseTremors,mouseJitters,xVariance,yVariance,totalVariance,keyHoldDuration,keyHoldStd,clickIntervalAvg,scrollSpeedAvg,keyStrokeInterval,avgTimeSpentField,averageTimeInterval,backspaceCount,averageTimeSpent,label
0.26629066197465700,3.3107819150575000,2,0,0,0,0,2121.3333333333300,1008.5436144372800,0,0,287.35714285714300,5.513,0,0,11.506,1
0.010284692851898800,5.400540298488190,1,0,4408.805555555560,5363.805555555560,98.85651779782210,3728.409090909090,3849.303675626290,3514.2,0,254.08467023172900,8.3975,0.003,3,19.638,1
0.09102104919297440,4.631936735163820,3,0,89299.44,17227.440000000000,326.3845584582700,7912.875,5887.101014877780,4862.5,0,697.5571428571430,9.2595,0.001,0,21.142,1
0.15049428406404300,3.233491662511280,3,0,4798.6875,6301.6875,105.35831718473900,1324,2281.189382756290,4965.333333333330,0,681.0151515151520,7.459,0,0,17.298,1
0.3375643789454110,4.337732214946980,1,0,0,0,0,3025.714285714290,2008.3951456883400,0,0,437.875,9.445,0,1,12.771,1
0.1673286314609890,3.1040530936972300,3,0,114517.26530612200,8037.95918367347,350.07888323890100,5622.454545454550,5045.169523480970,2983.3333333333300,0.053997313074734100,2140.6767676767700,6.999,0.002,2,24.301,1
0.05888245753429880,1.265914697088780,1,0,7261.4722222222200,3366.888888888890,103.09394313494400,973.1428571428570,953.8855020495950,1749.8,0,319.6,6.9,0,0,12.432,1
0.050882703147432300,3.781895961007090,2,0,16640.888888888900,5771.555555555560,149.70786366936300,3972.086956521740,4643.104123911290,9893,0,278.49487179487200,9.8905,0.002,4,23.006,1
0.04657947912006510,1.9559055672043800,3,4.895357598576000,1139.1875,2861.1875,63.24851776919360,4869.444444444440,3462.587250761460,3583,0,488.5727272727270,7.7490000000000000,0.001,0,16.927,1
0.06392262683374480,3.031230644074090,1,3.293395625421680,3371.44,3928.2400000000000,85.43816477429750,495.75,680.2142585244740,1375.5,0.007220588235294180,295.1818181818180,4.752,0,0,10.088,1
